client_code,product,push_notification
1,Кредитная карта,"Айгерим, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
2,Кредитная карта,"Данияр, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
3,Кредитная карта,"Сабина, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
4,Кредитная карта,"Тимур, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
5,Кредитная карта,"Камилла, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
6,Кредитная карта,"Аян, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
7,Кредитная карта,"Руслан, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
8,Кредитная карта,"Мадина, ваши топ-категории — Продукты питания, Косметика и Парфюмерия. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
9,Кредитная карта,"Арман, ваши топ-категории — Продукты питания, Косметика и Парфюмерия. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
10,Кредитная карта,"Карина, ваши топ-категории — Продукты питания, Косметика и Парфюмерия. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
11,Кредитная карта,"Бауржан, ваши топ-категории — Продукты питания, Косметика и Парфюмерия. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
12,Кредитная карта,"Жанар, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
13,Кредитная карта,"Алина, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
14,Кредитная карта,"Диас, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
15,Кредитная карта,"Нурия, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
16,Кредитная карта,"Ерасыл, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
17,Кредитная карта,"Жанель, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
18,Кредитная карта,"Санжар, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
